"","Data","Descrição","Valor","Credor","","","","","","","","","","","","","","","",""
"","30/12/2024","REFERENTE PENSÃO ALIMENTÍCIA SERVIDORES DA ADM - REF DEZEMBRO DE 2024","R$ 1.200,00","PENSAO ALIMENTICIA PREF","207","14.197.586/0001-30","Não se Aplica","Não se Aplica","Não se Aplica","31/12/2024","-","2188101100100000000 - PENSAO ALIMENTICIA - PM","Pagamento","1080","-","-","-","-","-","-"
"","30/12/2024","REFERENTE PENSÃO ALIMENTÍCIA SERVIDORES DA EDUCAÇÃO FUNDEB 70% - REF DEZEMBRO DE 2024","R$ 10.739,40","PENSAO ALIMENTICIA PREF","207","14.197.586/0001-30","Não se Aplica","Não se Aplica","Não se Aplica","31/12/2024","-","2188101100400000000 - PENSAO ALIMENTICIA - FME","Pagamento","1079","-","-","-","-","-","-"
"","30/12/2024","REFERENTE PENSÃO ALIMENTÍCIA SERVIDORES DA EDUCAÇÃO FUNDEB 70% - REF DEZEMBRO DE 2024","R$ 420,00","PENSAO ALIMENTICIA PREF","207","14.197.586/0001-30","Não se Aplica","Não se Aplica","Não se Aplica","31/12/2024","-","2188101100400000000 - PENSAO ALIMENTICIA - FME","Pagamento","1079","-","-","-","-","-","-"
"","30/12/2024","REFERENTE PENSÃO ALIMENTÍCIA SERVIDORES DA ADM - REF DEZEMBRO DE 2024","R$ 2.796,00","PENSAO ALIMENTICIA PREF","207","14.197.586/0001-30","Não se Aplica","Não se Aplica","Não se Aplica","31/12/2024","-","2188101100100000000 - PENSAO ALIMENTICIA - PM","Pagamento","1078","-","-","-","-","-","-"
"","30/12/2024","REF. REPASSE DO ISS RETIDO NA FONTE.","R$ 1.698,08","FL CONSTRUTORA EIRELI-ME","207","25.159.729/0001-36","Não se Aplica","Não se Aplica","Não se Aplica","31/12/2024","-","2188201080104000000 - ISS a Recolher - FME","Pagamento","1077","-","-","-","-","-","-"
"","30/12/2024","REF. REPASSE DO IRRF RETIDO NA FONTE 1500.00.00 DE NOTAS FISCAIS 01/12 A 26/12//2024.","R$ 81.842,71","IRRF","207","14.197.586/0001-30","Não se Aplica","Não se Aplica","Não se Aplica","31/12/2024","-","2188201040301000000 - IRRF - SOBRE SOBRE FATURAS OU NOTAS FISCAIS - PESSOA JURÍDICA - PM","Pagamento","1076","-","-","-","-","-","-"
"","30/12/2024","REF. REPASSE DO IRRF RETIDO NA FONTE DA FOLHA DE PAGAMENTO DE SERVIDORES DIVERSOS ADM - DÉCIMO TERCEIRO 2024","R$ 79.970,59","IRRF","207","14.197.586/0001-30","Não se Aplica","Não se Aplica","Não se Aplica","31/12/2024","-","2188201040101000000 - IRRF - SOBRE VENCIMENTOS E VANTAGENS - PM","Pagamento","1075","-","-","-","-","-","-"
"","30/12/2024","REF PAGAMENTO SALÁRIO FAMILIA SEC EDUCAÇÃO MDE DEZEMBRO 2024.","R$ 62,04","SALÁRIO FAMILIA","207","14.197.586/0001-30","Não se Aplica","Não se Aplica","Não se Aplica","31/12/2024","-","1138108000014000000 - ADIANTAMENTO SALARIO FAMILIA  - FME","Pagamento","1074","-","-","-","-","-","-"
"","30/12/2024","REF. REPASSE DO IRRF RETIDO NA FONTE DA FOLHA DE PAGAMENTO DE SERVIDORES DIVERSOS ADM - DÉCIMO TERCEIRO 2024","R$ 90.193,23","IRRF","207","14.197.586/0001-30","Não se Aplica","Não se Aplica","Não se Aplica","31/12/2024","-","2188201040101000000 - IRRF - SOBRE VENCIMENTOS E VANTAGENS - PM","Pagamento","1073","-","-","-","-","-","-"
"","30/12/2024","REF PAGAMENTO SALÁRIO MATERNIDADE SERVIDORES DA EDUCAÇÃO  ENSINO INFANTIL DEZEMBRO 2024.","R$ 5.768,43","SALÁRIO MATERNIDADE - PREFEITURA","207","14.197.586/0001-30","Não se Aplica","Não se Aplica","Não se Aplica","31/12/2024","-","1138303000004000000 - CRÉDITO A RECEBER POR REEMBOLSO DE SALÁRIO MATERNIDADE PAGO - FME","Pagamento","1072","-","-","-","-","-","-"
